carto_id;NOM_DISPOSITIF;ADRESSE;CODE_POSTAL;VILLE;COM_CODE;COM_NOM;EPCI_CORRE;ADRESSE_COMPLETE;TYPE_STRUCTURE;HORAIRES;INFOS;N_TEL;MAIL;WEBSITE;SERVICES;ACCES;lat;lon;;;;
carto_id_1;3615 Senor;8 avenue du Chardonnet;25000;BESANCON;25056;Besancon;CA du Grand Besancon;8 avenue du Chardonnet 25000 BESANCON;espnum;;;;contact@3615senor.org;https://3615senor.org/;tierslieux_cowork-;;47,231;6,0397;;;;
carto_id_2;AC agir ensemble contre le chômage;2 rue Victor Hugo;25000;BESANCON;25056;Besancon;CA du Grand Besancon;2 rue Victor Hugo 25000 BESANCON;association;;;09.53.81.96.42;ac.besancon@free.fr;https://www.ac-chomage.org/spip.php?rubrique54;accomp_demarches-ateliers_formations-;;47,2349;6,02968;;;;
carto_id_3;DigiFab;4 Avenue du Parc;25000;BESANCON;25056;Besancon;CA du Grand Besancon;4 Avenue du Parc 25000 BESANCON;espnum;;;;azouz@digifab.fr;https://digifab.fr/;accomp_demarches-ateliers_formations-;;47,218;5,97217;;;;
carto_id_4;EPN Centre ville;27 rue de la République;25000;BESANCON;25056;Besancon;CA du Grand Besancon;27 rue de la République 25000 BESANCON;espnum;;;;;https://epn.besancon.fr/;accomp_demarches-ateliers_formations-;acces_libre-;47,2271;5,99569;;;;
carto_id_5;EPN Montrapon;1 place de Coubertin;25000;BESANCON;25056;Besancon;CA du Grand Besancon;1 place de Coubertin 25000 BESANCON;espnum;;;;;https://epn.besancon.fr/;accomp_demarches-ateliers_formations-;acces_libre-;47,2473;6,00024;;;;
carto_id_6;EPN Planoise;13 avenue Ile de France;25000;BESANCON;25056;Besancon;CA du Grand Besancon;13 avenue Ile de France 25000 BESANCON;espnum;;;;;https://epn.besancon.fr/;accomp_demarches-ateliers_formations-;acces_libre-;47,2213;5,96744;;;;
carto_id_7;EPN Battant;1  rue de l'Ecole;25000;BESANCON;25056;Besancon;CA du Grand Besancon;1  rue de l'Ecole 25000 BESANCON;espnum;;;;;https://epn.besancon.fr/;;;47,2403;6,01915;;;;
carto_id_8;EPN Clairs-soleils;67E Rue de Chalezeule;25000;BESANCON;25056;Besancon;CA du Grand Besancon;67E Rue de Chalezeule 25000 BESANCON;espnum;;;;;https://epn.besancon.fr/;;;47,2494;6,05351;;;;
carto_id_9;EPN Grette;31 bis rue Brulard;25000;BESANCON;25056;Besancon;CA du Grand Besancon;31 bis rue Brulard 25000 BESANCON;espnum;;;;;https://epn.besancon.fr/;;;47,2278;6,00549;;;;
carto_id_10;Espace IO;19 rue de la République;25000;BESANCON;25056;Besancon;CA du Grand Besancon;19 rue de la République 25000 BESANCON;espnum;;;07 64 15 07 64;info@espaces.io;https://espaces.io/;tierslieux_cowork-;;47,2206;5,96626;;;;
carto_id_11;FabLab Planoise;10  rue Picasso;25000;BESANCON;25056;Besancon;CA du Grand Besancon;10  rue Picasso 25000 BESANCON;espnum;;;;fablab@grandbesancon.fr;https://fablab.grandbesancon.fr/;ateliers_formations-tierslieux_cowork-;;47,2185;5,97359;;;;
carto_id_12;Frenchmakers;17  rue Xavier Marmier;25000;BESANCON;25056;Besancon;CA du Grand Besancon;17  rue Xavier Marmier 25000 BESANCON;espnum;;;03 81 63 18 32;contact@frenchmakers.com;https://www.frenchmakers.com/;ateliers_formations-tierslieux_cowork-;;47,242;6,0075;;;;
carto_id_13;iBureau Bisontin;4 rue Eugène Savoye;25000;BESANCON;25056;Besancon;CA du Grand Besancon;4 rue Eugène Savoye 25000 BESANCON;espnum;;;06 87 47 25 73;contact@ibureaubisontin.com ;http://www.ibureaubisontin.com/;tierslieux_cowork-;;47,211;5,9499;;;;
carto_id_14;L'atome;12 rue de France-Comté;25000;BESANCON;25056;Besancon;CA du Grand Besancon;12 rue de France-Comté 25000 BESANCON;espnum;;;03.81.26.18.89;contact@besancon-coworking.fr;https://besancon-coworking.fr/;tierslieux_cowork-;;47,2209;5,9769;;;;
carto_id_15;La pépinière APEFC;15  rue Xavier Marmier ;25000;BESANCON;;Besancon;CA du Grand Besancon;15  rue Xavier Marmier  25000 BESANCON;espnum;;Espace de co-working;;;https://www.coworking-france.com/espace-coworking/pepiniere-apefc/;;acces_payant-;47,2419;6,00714;;;;
carto_id_16;Mission Locale du Bassin d'Emploi de Besancon;10C rue Midol;25000;BESANCON;25056;Besancon;CA du Grand Besancon;10C rue Midol 25000 BESANCON;collectivite;;;03.81.85.85.85;contact.besancon@milobfc.fr;https://www.missionlocale-besancon.fr/;accomp_demarches-ateliers_formations-;acces_libre-;47,2457;6,01794;;;;
carto_id_17;France services Planoise;7-9 rue Picasso;25000;BESANCON;25056;Besancon;CA du Grand Besancon;7-9 rue Picasso 25000 BESANCON;msap_mfs;;;03 81 41 22 21;msap@besancon.fr;https://www.grandbesancon.fr/demarche-administrative/la-maison-de-services-au-public-msap/;accomp_demarches-ateliers_formations-;acces_libre-;47,2193;5,97366;;;;
carto_id_18;Onlineformapro;10 rue Pablo Picasso;25000;BESANCON;25056;Besancon;CA du Grand Besancon;10 rue Pablo Picasso 25000 BESANCON;entreprise;;;;;https://tertiaire.onlineformapro.com/category/besancon_picasso/;ateliers_formations-;;47,219166;5,973622;;;;
carto_id_19;Onlineformapro;2b chemin de Palente;25000;BESANCON;25056;Besancon;CA du Grand Besancon;2b chemin de Palente 25000 BESANCON;entreprise;;;;;https://www.ofpformation.com/;ateliers_formations-;;47,264612;6,052119;;;;
carto_id_20;France services Baume les Dames;3 Place de la République;25110;BAUME LES DAMES;25047;Baume-les-Dames;CC du Doubs Baumois;3 Place de la République 25110 BAUME LES DAMES;msap_mfs;;;03 81 84 72 45;franceservices@baumelesdames.org;https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25047-01;accomp_demarches-ateliers_formations-;adapt_handicap-acces_libre-;47,352575;6,36156;;;;
carto_id_21;MJC de Villers-le-Lac;4 Rue Parrenin;25130;VILLERS LE LAC;25321;Villers-le-Lac;CC du Val de Morteau;4 Rue Parrenin 25130 VILLERS LE LAC;association;;Coût : carte d’adhésion MJC + 50€ pour 12h cours informatiques;03 81 68 13 91;mjc.villers@gmail.com;http://www.mjcvll.com/;ateliers_formations-;adapt_handicap-;47,060345;6,669811;;;;
carto_id_22;France services Saint-Hippolyte (Portage La Poste);Esplanade des Fêtes;25190;SAINT HIPPOLYTE;25519;Saint-Hippolyte;CC du Pays de Maîche;Esplanade des Fêtes 25190 SAINT HIPPOLYTE;msap_mfs;;Imprimante  photocopieuse  scanner  ordinateur avec accès internet Accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…);03 81 31 54 26;saint-hippolyte@france-services.gouv.fr;https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25519-01;accomp_demarches-;adapt_handicap-acces_libre-;47,317628;6,812826;;;;
carto_id_23;Bureau Information Jeunesse de Montbéliard;Mairie;25200;MONTBELIARD;25388;Montbéliard;CA Pays de Montbéliard Agglomération;Mairie 25200 MONTBELIARD;collectivite;;;03 81 99 24 15;bij@montbeliard.com;https://www.montbeliard.fr/ma-ville-au-quotidien/jeunes-11-26-ans/bij-bureau-information-jeunesse.html;accomp_demarches-;;47,51081;6,800682;;;;
carto_id_24;Association La Lizaine de Bethoncourt;Place Cuvier;25200;BETHONCOURT;25057;Bethoncourt;CA Pays de Montbéliard Agglomération;Place Cuvier 25200 BETHONCOURT;association;;Cours d'accès au numérique ;03 91 92 90 81;;https://www.bethoncourt.fr/programme-vacances-association-socioculturelle-la-lizaine/;ateliers_formations-;;47,532991;6,804307;;;;
carto_id_25;L'Atelier du pavillon des sciences;1 impasse de la presqu'ile;25200;MONTBELIARD;25388;Montbéliard;CA Pays de Montbéliard Agglomération;1 impasse de la presqu'ile 25200 MONTBELIARD;espnum;;Lieu de création numérique;03 81 97 18 21;contact@pavillon-sciences.com;https://www.pavillon-sciences.com/web/;ateliers_formations-tierslieux_cowork-;adapt_handicap-acces_payant-;47,504871;6,79436;;;;
carto_id_26;France services Montbéliard;12 rue Maurice Ravel;25200;MONTBELIARD;25388;Montbéliard;CA Pays de Montbéliard Agglomération;12 rue Maurice Ravel 25200 MONTBELIARD;msap_mfs;;Accompagnement des démarches CAF  pole emploi MSA pour agriculteurs  demande de logement et de bourses  ;03 81 36 52 03;france.services.montbeliard@outlook.fr;https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25388-01;accomp_demarches-;adapt_handicap-acces_libre-;47,499355;6,798311;;;;
