NOM_DISPOSITIF,ADRESSE,CODE_POSTAL,VILLE,COM_CODE,COM_NOM,EPCI_CORRE,ADRESSE_COMPLETE,TYPE_STRUCTURE,HORAIRES,INFOS,N_TEL,MAIL,WEBSITE,SERVICES,ACCES,latitude,longitude,BAN_adress,BAN_adress_full,BAN_city,BAN_postcode
3615 Senor,8 avenue du Chardonnet,25000,BESANCON,25056,Besançon,CA du Grand Besancon,8 avenue du Chardonnet 25000 BESANCON,espnum,,,06 64 81 96 56,contact@3615senor.org,https://3615senor.org/,tierslieux_cowork-,,47.2395,6.0235,8 Avenue de Chardonnet,8 Avenue de Chardonnet 25000 Besançon,Besançon,25000
AC agir ensemble contre le chômage,2 rue Victor Hugo,25000,BESANCON,25056,Besançon,CA du Grand Besancon,2 rue Victor Hugo 25000 BESANCON,association,,,09.53.81.96.42,ac.besancon@free.fr,https://www.ac-chomage.org/spip.php?rubrique54,accomp_demarches-ateliers_formations-,,47.23492,6.029683,2 Rue Victor Hugo,2 Rue Victor Hugo 25000 Besançon,Besançon,25000
DigiFab,4 Avenue du Parc,25000,BESANCON,25056,Besançon,CA du Grand Besancon,4 Avenue du Parc 25000 BESANCON,espnum,,,,azouz@digifab.fr,https://digifab.fr/,accomp_demarches-ateliers_formations-,,47.217979,5.972171,4 Avenue du parc,4 Avenue du parc 25000 Besançon,Besançon,25000
EPN Centre ville,27 rue de la République,25000,BESANCON,25056,Besançon,CA du Grand Besancon,27 rue de la République 25000 BESANCON,espnum,,,03 81 87 84 27,epn@besancon.fr,https://epn.besancon.fr/,accomp_demarches-ateliers_formations-,acces_libre-,47.240218,6.027249,27 Rue de la République,27 Rue de la République 25000 Besançon,Besançon,25000
EPN Montrapon,1 place de Coubertin,25000,BESANCON,25056,Besançon,CA du Grand Besancon,1 place de Coubertin 25000 BESANCON,espnum,,,03 81 87 84 27.,epn@besancon.fr,https://epn.besancon.fr/,accomp_demarches-ateliers_formations-,acces_libre-,47.247253,6.000357,1 Place Pierre de Coubertin,1 Place Pierre de Coubertin 25000 Besançon,Besançon,25000
EPN Planoise,13 avenue Ile de France,25000,BESANCON,25056,Besançon,CA du Grand Besancon,13 avenue Ile de France 25000 BESANCON,espnum,,,03 81 87 84 27.,epn@besancon.fr,https://epn.besancon.fr/,accomp_demarches-ateliers_formations-,acces_libre-,47.221329,5.967441,13 Avenue de l'île de France,13 Avenue de l'île de France 25000 Besançon,Besançon,25000
EPN Battant,1  rue de l'Ecole,25000,BESANCON,25056,Besançon,CA du Grand Besancon,1  rue de l'Ecole 25000 BESANCON,espnum,,,03 81 87 84 27.,epn@besancon.fr,https://epn.besancon.fr/,,,47.240319,6.01915,1 Rue de l'école,1 Rue de l'école 25000 Besançon,Besançon,25000
EPN Clairs-soleils,67E Rue de Chalezeule,25000,BESANCON,25056,Besançon,CA du Grand Besancon,67E Rue de Chalezeule 25000 BESANCON,espnum,,,03 81 87 84 27.,epn@besancon.fr,https://epn.besancon.fr/,,,47.24935,6.053506,67e Rue de Chalezeule,67e Rue de Chalezeule 25000 Besançon,Besançon,25000
EPN Grette,31 bis rue Brulard,25000,BESANCON,25056,Besançon,CA du Grand Besancon,31 bis rue Brulard 25000 BESANCON,espnum,,,03 81 87 84 27.,epn@besancon.fr,https://epn.besancon.fr/,,,47.227771,6.005491,31b Rue Général Brulard,31b Rue Général Brulard 25000 Besançon,Besançon,25000
Espace IO,19 rue de la République,25000,BESANCON,25056,Besançon,CA du Grand Besancon,19 rue de la République 25000 BESANCON,espnum,,,07 64 15 07 64,info@espaces.io,https://espaces.io/,tierslieux_cowork-,,47.239663,6.026411,19 Rue de la République,19 Rue de la République 25000 Besançon,Besançon,25000
FabLab Planoise,10  rue Picasso,25000,BESANCON,25056,Besançon,CA du Grand Besancon,10  rue Picasso 25000 BESANCON,espnum,,,03 81 87 85 80,fablab@grandbesancon.fr,https://fablab.grandbesancon.fr/,ateliers_formations-tierslieux_cowork-,,47.219005,5.973584,Rue Pablo Picasso,Rue Pablo Picasso 25000 Besançon,Besançon,25000
Frenchmakers,17  rue Xavier Marmier,25000,BESANCON,25056,Besançon,CA du Grand Besancon,17  rue Xavier Marmier 25000 BESANCON,espnum,,,03 81 63 18 32,contact@frenchmakers.com,https://www.frenchmakers.com/,ateliers_formations-tierslieux_cowork-,,47.242025,6.007497,17 Rue Xavier Marmier,17 Rue Xavier Marmier 25000 Besançon,Besançon,25000
iBureau Bisontin,4 rue Eugène Savoye,25000,BESANCON,25056,Besançon,CA du Grand Besancon,4 rue Eugène Savoye 25000 BESANCON,espnum,,,06 87 47 25 73,contact@ibureaubisontin.com,http://www.ibureaubisontin.com/,tierslieux_cowork-,,47.250675,6.022409,Rue Eugène Savoye,Rue Eugène Savoye 25000 Besançon,Besançon,25000
L'atome,12 rue de France-Comté,25000,BESANCON,25056,Besançon,CA du Grand Besancon,12 rue de France-Comté 25000 BESANCON,espnum,,,03.81.26.18.89,contact@besancon-coworking.fr,https://besancon-coworking.fr/,tierslieux_cowork-,,47.226102,5.996201,12 Rue Anatole France,12 Rue Anatole France 25000 Besançon,Besançon,25000
La pépinière APEFC,15  rue Xavier Marmier,25000,BESANCON,25056,Besançon,CA du Grand Besancon,15  rue Xavier Marmier  25000 BESANCON,espnum,,Espace de co-working,,,https://www.coworking-france.com/espace-coworking/pepiniere-apefc/,,acces_payant-,47.241893,6.00714,15 Rue Xavier Marmier,15 Rue Xavier Marmier 25000 Besançon,Besançon,25000
Mission Locale du Bassin d'Emploi de Besancon,10C rue Midol,25000,BESANCON,25056,Besançon,CA du Grand Besancon,10C rue Midol 25000 BESANCON,collectivite,,,03.81.85.85.85,contact.besancon@milobfc.fr,https://www.missionlocale-besancon.fr/,accomp_demarches-ateliers_formations-,acces_libre-,47.245703,6.017937,10c Rue Midol,10c Rue Midol 25000 Besançon,Besançon,25000
France services Planoise,7-9 rue Picasso,25000,BESANCON,25056,Besançon,CA du Grand Besancon,7-9 rue Picasso 25000 BESANCON,msap_mfs,,,03 81 41 22 21,msap@besancon.fr,https://www.grandbesancon.fr/demarche-administrative/la-maison-de-services-au-public-msap/,accomp_demarches-ateliers_formations-,acces_libre-,47.21937,5.973427,9 Rue Pablo Picasso,9 Rue Pablo Picasso 25000 Besançon,Besançon,25000
Onlineformapro,10 rue Pablo Picasso,25000,BESANCON,25056,Besançon,CA du Grand Besancon,10 rue Pablo Picasso 25000 BESANCON,entreprise,,,03 84 76 90 83,,https://tertiaire.onlineformapro.com/category/besancon_picasso/,ateliers_formations-,,47.219005,5.973584,Rue Pablo Picasso,Rue Pablo Picasso 25000 Besançon,Besançon,25000
